Sr.No,FoodName,FoodPrice,Description,Category,Photos,Type
1,CHILLY FLAKES 1KG,0,xyz,CONDIMENTS,/uploads/1.jpg,Veg
2,CHILLY FLAKES SACHET 200PC,0,xyz,CONDIMENTS,/uploads/2.jpg,Veg
3,OREGANO PIZZA MASALA 1KG,0,xyz,CONDIMENTS,/uploads/3.jpg,Veg
4,OREGANO SEAS.SACHET 200PCS,0,xyz,CONDIMENTS,/uploads/4.jpg,Veg
5,OREGANO SEASONING 1KG,0,xyz,CONDIMENTS,/uploads/5.jpg,Veg
6,PIRI PIRI SPRINKLER 500G,0,xyz,CREMICA,/uploads/6.jpg,Veg
7,CATERSTAR MAYO LITE 1KG,0,xyz,CREMICA,/uploads/7.jpg,Veg
8,CHEESE BLEND POUCH 1KG,0,xyz,CREMICA,/uploads/8.png,Veg
9,CHEESE S/W DRESSING 1KG,0,xyz,CREMICA,/uploads/9.jpg,Veg
10,CHEEZ JALEPENO 1KG POUCH,0,xyz,CREMICA,/uploads/10.png,Veg
11,CHEF CHOICE MAYO PREM 1KG,0,xyz,CREMICA,/uploads/11.jpg,Veg
12,CHEF CHOICE REGULAR MAYO 1KG,0,xyz,CREMICA,/uploads/12.jpg,Veg
13,CHILLI GARLIC DIP 1KG,0,xyz,CREMICA,/uploads/13.jpg,Veg
14,CHIPOTLE S/W MAYO 1KG,0,xyz,CREMICA,/uploads/14.jpg,Veg
15,CLASSIC VEG MAYONNAISE 1KG,0,xyz,CREMICA,/uploads/15.jpg,Veg
16,GOUDA CHEESE BLEND 1KG,0,xyz,CREMICA,/uploads/16.jpg,Veg
17,HARISSA MAYONNAISE 1KG,0,xyz,CREMICA,/uploads/17.jpg,Veg
18,HONEY DIP CUP 15GM*360PCS,0,xyz,CREMICA,/uploads/18.jpg,Veg
19,HOT FUDGE TOPPING 1KG,0,xyz,CREMICA,/uploads/19.jpg,Veg
20,MINT S/W MAYO 1KG,0,xyz,CREMICA,/uploads/20.jpg,Veg
21,MIXED FRUIT JAM 15GM/360PC,0,xyz,CREMICA,/uploads/21.jpg,Veg
22,MIXED PICKEL 15GM*360 PCS,0,xyz,CREMICA,/uploads/22.jpg,Veg
23,MUSTARD SAUCE 750GM,0,xyz,CREMICA,/uploads/23.jpg,Veg
24,PIRI PIRI MAYO 1KG,0,xyz,CREMICA,/uploads/24.jpg,Veg
25,PIZZA & PASTA SAUCE 1KG,0,xyz,CREMICA,/uploads/25.jpg,Veg
26,SALAD MAYO 1KG,0,xyz,CREMICA,/uploads/26.jpg,Veg
27,SALSA MEXICAN KG,0,xyz,CREMICA,/uploads/27.jpg,Veg
28,SCHEZWAN SAUCE 1.25KG,0,xyz,CREMICA,/uploads/28.jpg,Veg
29,SNACK DRESSING POUCH 1.2KG,0,xyz,CREMICA,/uploads/29.jpg,Veg
30,SQEASY TOMATO KETCHUP 950G,0,xyz,CREMICA,/uploads/30.jpg,Veg
31,TANDOORI BREAD SPREAD 1KG,0,xyz,CREMICA,/uploads/31.jpg,Veg
32,THICK CHOCOLATE DRESSING 1.3KG,0,xyz,CREMICA,/uploads/32.jpg,Veg
33,THOUSAND ISLAND 1KG,0,xyz,CREMICA,/uploads/33.jpg,Veg
34,TK 8GM SACHET,0,xyz,CREMICA,/uploads/34.jpg,Veg
35,TOMAKHAN MAYO 1KG,0,xyz,CREMICA,/uploads/35.jpg,Veg
36,TOMATO KETHUP 9GM(AK)100PC,0,xyz,CREMICA,/uploads/36.jpg,Veg
37,TOMBO SACHET 15GM*1000PCS,0,xyz,CREMICA,/uploads/37.jpg,Veg
38,TOMBO(SACHET)8GM*100PCS,0,xyz,CREMICA,/uploads/38.jpg,Veg
39,CHEESE 1KG,0,xyz,DAIRY,/uploads/39.jpg,Veg
40,OSCAR LITE (500Gm*2Pc),0,xyz,DAIRY,/uploads/40.jpg,Veg
41,VIMAL CHEESE STAR 1KG,0,xyz,DAIRY,/uploads/41.jpg,Veg
42,VIMAL LITE 500GM,0,xyz,DAIRY,/uploads/42.jpg,Veg
43,GO CHEDDAR DICED(1KG*2),0,xyz,GOVERDHAN,/uploads/43.jpg,Veg
45,GO CHEESE HIGH MELT 1KG,0,xyz,GOVERDHAN,/uploads/45.png,Veg
46,GO COLBY CHEESE 1KG,0,xyz,GOVERDHAN,/uploads/46.png,Veg
47,GO FILLER CHEESE 500GM,0,xyz,GOVERDHAN,/uploads/47.jpg,Veg
48,GO FOUR CHEESE 1KG,0,xyz,GOVERDHAN,/uploads/48.jpg,Veg
49,GO FOUR CHEESE 200GM,0,xyz,GOVERDHAN,/uploads/49.jpg,Veg
50,GO FRESH CREAM 1LTR,0,xyz,GOVERDHAN,/uploads/50.jpg,Veg
51,GO MILKO ANALOGUE ETG 1KG,0,xyz,GOVERDHAN,/uploads/51.jpg,Veg
52,GO MILKO HIGH MELT 1KG,0,xyz,GOVERDHAN,/uploads/52.jpg,Veg
53,GO MONTRY JACK CHEESE 1KG,0,xyz,GOVERDHAN,/uploads/53.jpg,Veg
54,GO MOZZRELLA BLEND (1KG*2),0,xyz,GOVERDHAN,/uploads/54.jpg,Veg
55,GO MOZZRELLA DICED (1KG*2),0,xyz,GOVERDHAN,/uploads/55.jpg,Veg
56,GO ORANGE CHEDDAR (1KG*2),0,xyz,GOVERDHAN,/uploads/56.jpg,Veg
57,GO SANDWICH SLICE 900GM,0,xyz,GOVERDHAN,/uploads/57.jpg,Veg
58,IB ALOO TIKKI 1.5KG,0,xyz,ISCON BALAJI FOOD,/uploads/58.jpg,Veg
59,IB CHILLI GARLIC POTAPO SH,0,xyz,ISCON BALAJI FOOD,/uploads/59.jpg,Veg
